num_if,num_else,num_switch,num_loof,num_break,num_Priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nasted_loop,num_vari,num_method,num_state,complexity,complexity_class,efficiency,filename
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,constant,efficient,1001.java
1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,5,1,constant,efficient,1100.java
2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,constant,efficient,1101.java
0,0,0,1,0,0,0,0,0,0,0,3,0,6,2,3,1,constant,efficient,1102.java
11,4,0,0,0,0,0,0,0,0,0,0,0,7,1,26,1,constant,efficient,1103.java
6,0,0,3,0,0,0,0,1,0,0,1,0,13,11,25,1,constant,efficient,1104.java
2,0,0,3,0,0,0,0,0,0,0,0,0,9,6,11,1,constant,efficient,1105.java
0,0,0,5,0,0,0,2,0,0,0,0,2,12,8,12,1,constant,efficient,1106.java
0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,1,constant,efficient,1107.java
0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,constant,efficient,1108.java
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,constant,efficient,1109.java
4,0,0,1,0,0,0,1,0,0,0,0,0,6,1,10,1,constant,efficient,1110.java
10,0,0,2,0,0,0,1,0,0,0,0,0,9,8,30,1,constant,efficient,1111.java
1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,constant,efficient,1112.java
9,1,0,22,0,0,0,1,0,1,1,1,2,34,21,66,1,constant,efficient,1113.java
2,2,0,1,0,0,0,0,0,0,0,0,0,6,6,15,1,constant,efficient,1114.java
10,1,0,6,0,0,0,6,0,0,0,2,0,13,17,49,1,constant,efficient,1115.java
3,3,0,0,0,0,0,2,0,0,0,0,0,4,1,9,1,constant,efficient,1116.java
2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,constant,efficient,1117.java
1,1,0,0,0,0,0,1,0,0,0,0,0,6,2,4,1,constant,efficient,1118.java
0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,2,1,constant,efficient,1119.java
0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,constant,efficient,1120.java
1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,constant,efficient,1121.java
1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,constant,efficient,1122.java
2,0,0,1,1,0,0,0,0,0,0,0,0,4,1,5,1,constant,efficient,1123.java
2,1,0,0,0,0,0,0,0,0,0,0,0,7,1,5,1,constant,efficient,1124.java
0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,constant,efficient,1125.java
0,0,0,5,0,0,0,0,0,0,0,0,2,8,8,12,1,constant,efficient,1126.java
0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,1,1,constant,efficient,1127.java
0,0,0,2,0,0,0,2,0,0,0,0,0,8,8,15,1,constant,efficient,1128.java
0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,2,1,constant,efficient,1129.java
0,0,0,4,0,0,0,0,0,0,0,0,0,9,8,13,1,constant,efficient,1130.java
2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1,constant,efficient,1131.java
7,1,0,0,0,0,0,0,0,0,0,1,0,8,5,18,1,constant,efficient,1132.java
1,0,0,1,0,0,0,0,0,0,0,0,0,9,5,8,1,constant,efficient,1133.java
1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,constant,efficient,1134.java
3,0,0,4,0,0,0,0,0,0,0,2,0,11,9,23,1,constant,efficient,1135.java
0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,10,1,constant,efficient,1136.java
1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,1,constant,efficient,1137.java
1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,1,constant,efficient,1138.java
2,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,1,constant,efficient,1139.java
1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,constant,efficient,1140.java
3,1,0,1,0,0,0,0,0,0,0,1,0,3,5,15,1,constant,efficient,1141.java
2,2,0,1,0,0,0,0,0,0,0,0,0,6,6,15,1,constant,efficient,1142.java
7,0,0,1,0,0,0,0,0,0,0,1,0,10,10,27,1,constant,efficient,1143.java
5,2,0,1,0,0,0,0,0,0,0,1,0,7,6,16,1,constant,efficient,1144.java
1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,7,1,constant,efficient,1145.java
6,6,0,1,0,0,0,0,0,0,0,0,0,5,8,30,1,constant,efficient,1146.java
0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,constant,efficient,1147.java
12,0,0,21,1,0,0,0,0,0,0,0,2,35,23,93,1,constant,efficient,1148.java
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,constant,efficient,1149.java
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,constant,efficient,1150.java
1,1,0,1,0,0,0,0,0,0,0,0,0,6,4,9,1,constant,efficient,1151.java
6,3,0,1,0,0,0,0,0,0,0,1,0,3,9,20,1,constant,efficient,1152.java
2,0,0,1,1,0,0,0,0,0,0,1,0,6,4,11,1,constant,efficient,1153.java
1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,constant,efficient,1154.java
4,3,0,0,0,0,0,0,0,0,0,0,0,4,1,10,1,constant,efficient,1155.java
5,5,0,0,0,0,0,0,0,0,0,0,0,14,1,15,1,constant,efficient,1156.java
1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,5,1,constant,efficient,1173.java
4,1,0,6,0,0,0,0,0,0,0,1,0,7,18,37,1,constant,efficient,1175.java
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,constant,efficient,1176.java
2,0,0,3,0,0,0,0,0,0,0,1,0,10,6,13,1,constant,efficient,1177.java
2,0,0,6,0,0,0,1,0,0,0,0,5,13,1,13,1,constant,efficient,1180.java
8,2,0,1,0,0,0,0,0,0,0,1,0,9,10,32,1,constant,efficient,1181.java
2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,constant,efficient,1182.java
21,2,0,16,0,0,0,0,0,0,0,1,0,35,17,86,1,constant,efficient,1183.java
1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,constant,efficient,1184.java
21,2,0,6,0,0,0,20,0,0,0,1,0,52,32,87,1,constant,efficient,1185.java
